case,step,bank,stage,rms,sample_diversity_rms,batch_mean_rms,diversity_to_rms
cifar,16,evolving_prior,stage8_block1_attention,0.21301743388175964,0.05286000296473503,0.20635466368400315,0.24814871722694878
cifar,16,evolving_prior,stage8_block1_attention_residual,0.6944022178649902,0.6038118600845337,0.3429368422859709,0.8695419521282841
cifar,16,evolving_prior,stage8_block1_ffn,0.53003990650177,0.2272741049528122,0.478841083974948,0.4287867803252909
cifar,16,evolving_prior,stage8_block1,0.9935058951377869,0.6565093994140625,0.7456871811654818,0.6608007085081391
cifar,16,evolving_prior,stage16_upsample,0.9935059547424316,0.6565093994140625,0.7456872605788955,0.6608006688638961
cifar,16,evolving_prior,stage16_position,0.9940834641456604,0.6565093994140625,0.7464565239642718,0.66041677896562
cifar,16,evolving_prior,stage16_block0_attention,0.2042139321565628,0.02487831376492977,0.20269287010415277,0.1218247624058115
cifar,16,evolving_prior,stage16_block0_attention_residual,1.0747023820877075,0.6575889587402344,0.8500364529877099,0.6118800606571726
cifar,16,evolving_prior,stage16_block0_ffn,0.2445911467075348,0.1214473694562912,0.21230959822828058,0.4965321561761578
cifar,16,evolving_prior,stage16_block0,1.1989308595657349,0.6729329824447632,0.9922683140950476,0.5612775558121061
cifar,16,evolving_prior,stage16_block1_attention,0.32813477516174316,0.024579018354415894,0.3272129314791532,0.0749052530086166
